CONCEPTO(UM),1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Valor(MP),704.200,722.396,671.801,755.569,737.755,855.086,1.034.090,1.316.928,1.259.277,1.548.923,2.205.342,1.495.900,1.467.094,1.863.194,1.644.877,1.848.051,1.917.741,1.800.910,1.777.568,1.823.671,1.929.447,1.910.343,1.619.803,1.954.932,2.024.001
Carne y preparados de carne Valor(MP),65.446,94.304,91.170,129.115,127.595,130.216,186.951,201.982,228.469,244.132,280.166,284.544,271.274,284.420,310.950,321.711,283.430,320.171,313.949,367.505,383.631,430.768,378.098,526.003,624.522
Carne de ganado bovino congelada deshuesada Cantidad(t),618,1.129,1.378,2.316,1.862,1.630,5.406,7.853,6.726,4.066,4.847,5.261,4.963,1.641,746,1.089,575,1.251,1.286,1.792,1.988,2.880,1.482,1.378,1.837
Carne de ganado bovino congelada deshuesada Valor(MP),2.733,4.743,4.877,6.706,5.118,5.758,13.761,18.324,17.579,14.068,22.871,22.411,28.138,9.089,5.391,7.510,4.496,8.641,7.648,11.278,12.094,13.828,8.088,8.215,11.426
Carne de ganado porcino congelada Cantidad (t),3.653,5.540,5.890,9.333,7.362,7.137,8.438,10.618,14.231,8.500,7.850,8.848,10.256,4.805,4.195,4.984,3.514,4.514,4.092,4.221,3.667,4.194,2.328,4.555,13.094
Carne de ganado porcino congelada Valor (MP),7.678,9.956,11.467,19.264,12.619,11.589,17.411,23.298,29.602,18.391,20.921,19.384,24.713,13.986,11.922,13.004,11.112,13.307,10.059,11.558,10.553,13.285,7.546,15.799,52.283
Carne y despojos comestibles de las aves Cantidad (t),30.940,45.495,47.086,64.036,120.235,125.997,144.170,104.130,165.292,156.786,143.537,160.280,143.621,150.358,154.982,179.330,154.880,178.891,240.694,307.421,279.846,286.582,409.855,352.512,344.988
Carne y despojos comestibles de las aves Valor (MP),33.797,40.302,39.273,62.037,74.784,76.138,103.060,109.565,118.750,148.869,165.846,155.971,134.737,172.175,208.041,199.707,182.535,203.955,242.753,291.805,304.888,335.703,319.262,437.595,481.365
Carne y despojos de carne preparados o en conserva Cantidad (t),11.068,20.802,33.228,32.138,39.813,36.544,51.416,48.739,54.197,52.603,51.508,62.445,62.578,57.503,56.792,60.449,57.030,64.095,99.232,27.372,86.996,31.112,43.216,27.565,25.561
Carne y despojos de carne preparados o en conserva Valor (MP),17.843,30.351,30.574,32.056,28.324,29.203,47.619,43.995,57.660,57.046,62.912,81.639,78.128,82.168,78.734,95.239,80.249,88.398,47.689,46.627,50.440,63.958,38.935,59.995,73.229
Productos lácteos y huevos de aves Valor(MP),83.946,76.534,87.677,105.743,99.017,113.436,127.417,181.523,168.842,189.795,265.189,226.862,136.787,219.656,192.111,214.405,288.618,237.344,187.332,227.510,220.530,218.861,194.058,164.947,220.474
Leche condensada Cantidad (t),127,295,108,81,124,371,409,514,1.059,251,1.970,938,2.164,2.345,1.654,2.348,2.257,3.715,2.579,2.848,4.721,1.965,1.939,1.979,1.446      
Leche condensada Valor (MP),200,462,276,135,243,537,516,553,1.881,364,2.284,1.368,3.274,5.184,3.485,4.193,4.218,6.467,4.906,5.199,8.262,3.989,3.688,4.057,3.952
Leche en polvo Cantidad (t),48.195,38.688,40.611,37.028,45.163,52.839,51.272,71.928,60.838,50.913,52.113,51.040,37.924,45.535,42.155,42.979,51.128,58.316,55.083,57.032,49.192,54.228,45.006,30.984,34.655
Leche en polvo Valor (MP),69.795,60.268,72.092,92.186,85.115,98.865,109.091,161.070,143.760,161.943,234.186,200.067,104.073,185.394,164.066,175.822,253.173,189.693,141.250,173.515,145.852,158.127,154.245,110.066,146.795
Mantequilla Cantidad (t),1.533,2.235,1.989,1.836,1.945,1.702,2.106,2.036,2.833,1.941,1.444,2.106,2.348,1.460,1.399,1.578,1.222,2.077,2.690,2.096,2.362,1.840,1.410,1.601,1.653
Mantequilla Cantidad Valor (MP),3.264,4.678,3.756,3.463,3.503,3.250,4.735,5.179,6.709,6.789,6.633,7.110,9.822,7.795,6.349,8.393,7.194,10.190,12.165,10.374,13.075,9.828,6.911,10.215,13.903
Queso y cuajada Cantidad (t),2.465,3.187,3.470,2.712,2.842,3.238,3.181,3.711,3.654,4.094,1.459,1.976,3.080,2.659,2.217,2.397,2.316,3.632,3.316,4.877,5.755,5.813,3.671,4.939,5.359
Queso y cuajada Valor (MP),8.133,9.056,9.353,8.455,7.963,8.498,9.809,12.237,13.548,16.743,9.424,8.044,13.181,14.148,10.692,13.957,14.322,17.598,16.208,25.876,32.425,29.153,19.194,27.048,36.642
